Ano,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
1980,4.70,9.53,12.80,3.13,4.86,5.73,6.33,10.28,8.02,3.10,5.06,4.98
1981,4.48,14.89,8.06,3.39,3.50,2.35,1.96,12.39,5.54,1.72,3.28,3.11
1982,3.80,10.87,12.55,4.28,5.25,3.67,5.50,16.94,4.02,3.24,4.06,2.37
1983,3.86,12.65,8.29,4.07,7.16,5.05,6.65,16.87,8.91,5.06,12.05,4.94
1984,5.94,21.67,9.36,4.36,7.99,8.93,5.26,27.61,5.60,8.64,8.64,8.16
1985,7.53,13.05,11.59,8.80,22.42,6.37,9.80,13.13,9.62,6.75,20.98,13.51
1986,13.96,12.09,11.05,-0.33,0.23,1.19,1.08,2.69,3.97,3.76,5.16,7.34
1987,14.00,32.45,22.59,13.26,20.09,20.93,7.72,3.31,7.46,10.09,13.17,13.88
1988,17.39,15.78,19.46,17.02,23.64,20.2,19.71,21.88,25.36,34.58,30.72,27.72
1989,31.99,13.92,5.51,6.12,18.96,29.86,41.43,43.05,39.56,39.22,41.39,46.84
1990,64.68,70.25,78.41,1.67,0.99,7.42,16.67,13.11,10.87,11.48,13.05,17.51
1991,17.03,15.5,8.33,6.77,13.19,10.18,13.61,14.63,21.11,23.01,29.47,19.71
1992,29.87,23.63,27.77,17.42,28.22,18.03,23.53,17.28,34.3,18.91,29.16,18.84
1993,36.9,22.59,32.61,21.28,40.6,27.13,33.73,28.42,40.09,34.03,38.4,32.99
1994,45.93,39.14,55.71,45.6,45.6,44.74,3.58,0.14,0.38,1.32,2.36,1.32
1995,3.5,2.09,3.3,2.3,8.77,3.12,1.09,0.62,0.72,0.86,0.73,0.86
1996,1.52,0.11,0.98,0.25,2.16,1.54,0.75,0.23,0.22,0.26,0.58,0.59
1997,0.32,0.48,0.73,0.23,0.86,1.11,0.51,1.18,0.27,0.15,0.54,0.23
1998,0.33,0.48,0.47,-0.5,0.98,0.39,0.34,0.22,0.01,0.01,-0.05,0.05
1999,0.55,0.98,0.55,0.52,0.86,0.41,0.46,0.69,0.86,1.01,0.91,1.04
2000,1.07,0.77,0.56,0.6,1.35,0.73,0.3,0.39,0.26,0.33,0.41,0.64
2001,0.58,0.34,0.27,0.36,2.11,1.16,0.52,0.62,0.55,0.93,0.74,0.34
2002,0.36,0.58,0.55,0.33,2.53,0.57,0.29,1,0.71,1.13,2.45,1.7
2003,1.51,1.39,1.38,0.9,2.84,1.05,0.99,1.44,0.22,0.65,1.04,0.16
2004,0.33,1,1.16,0.59,1.83,0.7,1.12,0.81,0.58,1.19,0.71,0.51
2005,0.75,0.44,0.67,0.72,2.09,0.76,0.11,0.02,0.24,0.19,0.28,0.37
2006,0.34,0.19,0.2,0.36,1.32,0.9,0.47,0.24,0.11,0.21,0.23,0.36
2007,0.45,0.21,0.27,0.46,1.15,0.92,0.31,0.26,0.51,0.51,0.36,0.59
2008,0.38,0.4,0.66,0.87,2.02,1.92,1.46,1.18,0.95,0.77,0.5,0.17
2009,0.33,0.27,-0.25,-0.04,1.39,0.7,0.26,-0.05,0.15,0.06,0.29,0.1
2010,0.64,0.36,0.75,0.84,1.81,1.09,0.44,0.14,0.21,0.2,0.37,0.67
2011,0.41,0.28,0.43,1.06,2.94,0.37,0.45,0.13,0.14,0.23,0.72,0.11
2012,0.89,0.3,0.51,0.75,1.88,0.73,0.67,0.26,0.22,0.21,0.33,0.16
2013,0.65,0.6,0.5,0.74,2.25,1.15,0.48,0.31,0.43,0.26,0.35,0.1
2014,0.88,0.33,0.28,0.88,2.05,0.66,0.75,0.08,0.15,0.17,0.44,0.08
2015,0.92,0.31,0.62,0.46,0.95,1.84,0.55,0.59,0.22,0.36,0.34,0.1
2016,0.39,0.54,0.64,0.55,0.08,1.93,0.49,0.29,0.33,0.21,0.16,0.35
2017,0.41,0.65,0.16,-0.02,0.63,0.93,0.3,0.36,0.06,0.31,0.31,0.07
2018,0.31,0.13,0.24,0.29,0.23,0.97,0.61,0.15,0.23,0.35,0.13,0.13
2019,0.49,0.09,0.31,0.38,0.03,0.88,0.58,0.42,0.46,0.18,0.04,0.21
2020,0.38,0.33,0.26,0.22,0.2,0.34,1.17,0.72,1.16,1.73,1.28,0.7
2021,0.89,1.89,1.3,0.9,2.22,2.16,0.85,0.46,0.51,0.86,0.67,0.35
2022,0.71,0.38,0.86,0.95,2.28,,,,,,,