Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
AC,12,Acre,3263960.20692963,3313102.22080336,3207432.21961765,3325104.14300475,3452815.13247209,3579888.10663203,3757043.3345579,3866137.36731238,3993758.76709823,4056303.89187842,4223897.90406262,4308741.69566078,4273109.55913591,4466663.73660516,4649466.36685464,4840505.58872459,5024465.34693373,5210680.23556571,5165821.13600329,5342621.20404435,5625711.232135,5653094.46239656,6269672.63778458,6810304.59651442,7356300.96744989,7564554.00207669,7538214.53904468,7825167.55585957,8340313.18315233,9109603.85458895,8533398.05597148,7929801.84487029,7856953.8567649,8073083.75491431,7931591.81495105,
AL,27,Alagoas,13075164.946507,13471572.4041314,14677039.1456925,13580563.8796714,14332032.1436021,15487583.7784208,15877608.6063094,16353401.9025336,15717274.1170712,16844795.18795,16551440.3718613,16582586.3000631,17463339.4779952,17842010.7189827,17603980.0634292,17946198.3372645,18275260.2087444,20135252.1846708,19163089.0594211,19730842.5277202,20203331.1661694,21127275.5422437,22734007.316977,23404071.2489716,23735550.2670322,24340231.7008897,26338933.2776118,26726194.2420291,26816940.680331,27488984.8988237,28982023.6687279,28391643.7124792,29262728.875223,28975905.7573542,30175889.2763705,
AM,13,Amazonas,12682256.4053791,13572271.4459083,14141107.0929211,15471051.3372443,16157787.6662801,16160392.6132879,16274727.5952673,15654273.1162102,17859230.6581368,22089788.591852,27078274.7836083,30432708.4349374,32998505.2913557,33200683.0045308,33117870.1427546,35711146.059418,36702346.7019656,34606425.0573352,35727491.5969688,39003807.5683689,40371310.1836835,44809089.4425346,45473974.9738563,45032453.6535644,45540323.8470086,50384213.3947483,54568758.8588832,50950262.0958086,54744343.2573793,53037639.4870548,49853508.9171224,48155139.066294,48049791.5553581,49996693.0666968,51623545.298593,
AP,16,Amapá,2396901.418886,2556622.14447063,2586932.70054894,2623083.12303591,2747931.52013177,2785523.89756174,2935518.1135254,3187326.85846261,3510331.93333155,3688658.61392494,3855489.37111406,4056926.36716661,4267793.77564173,4252607.3061893,4345301.69684479,4573042.00335434,4855995.31735931,5649713.97378244,5317566.10832008,5504689.5264592,5739253.56298055,6604345.81961958,7085101.94704058,7552637.69359458,7552482.82737763,7601714.63787017,8047321.86705979,8766986.43060111,9352709.60068538,9126903.91186861,8840409.05519438,8544280.87706846,8858947.1751737,9283840.14184308,9288627.62480733,
BA,29,Bahia,54172849.5403428,58031606.6576798,59998035.1423706,70789961.0249148,65788953.2238878,70009715.9425173,72158156.4629323,74372527.7846314,82315856.1929273,87963004.3317604,93997566.0695868,95554904.6281262,101732449.998959,102200140.318879,102831175.219682,106995993.282888,107458224.051316,95889144.2026252,96340772.603483,102577675.731944,107770513.937254,108687171.414922,119086454.512862,121743204.498372,131340718.061149,135415006.032397,134535588.17419,136240610.319051,141818581.916254,144734974.620201,148121582.902151,144848505.546044,144544501.74334,148478357.735659,145933087.22641,
CE,23,Ceará,28823451.4261012,32282538.9125037,32337908.8164139,30799567.9541618,29171928.3958164,32558210.3489925,34462274.9081082,36477692.6959924,38718642.2963721,43159881.9697345,48110556.0825916,49761388.3574985,50850153.0810016,50468956.0868186,50797634.6171356,53104704.6723323,52361072.5988458,47572025.6363597,47628532.3013107,49758687.2563134,51924711.3738117,54467982.484135,56056271.6277034,61243540.3037758,63943974.0601072,69178379.551123,72330534.7661254,71907814.466093,75475070.4247842,81719333.095983,78621584.299441,77268113.1709953,79642813.8992992,81254709.7972749,81441354.5318175,
DF,53,Distrito Federal,62115419.5929449,66181886.6272074,67698364.5342813,70310423.6938966,71980669.286898,74373866.4798679,75402123.593674,76365613.2504268,79848954.2896181,82144878.9190351,85039169.9713885,87569046.6158674,90891846.1638886,92986264.9253229,95830769.2459623,99000923.6237622,102237091.460922,89242307.2315067,83708223.7719595,89665326.9646328,93312077.4334628,98815634.4411022,103185024.496082,109887097.44287,115707427.508671,121620222.894696,121522009.537016,118250851.349623,119973378.611272,126292172.558483,127758985.855848,130933343.222004,131973952.194565,134012460.992734,138227876.632696,
ES,32,Espírito Santo,33383158.9920291,34476942.007081,33944179.7772514,35203210.517048,36201253.2711472,35112577.444533,37497466.0480631,38523745.1310726,39620754.5395178,42274294.3103281,42455139.4845082,45102042.6647948,45313631.6750713,46848647.1574785,47296760.6838746,51533950.5139565,51704098.4873405,42374241.6067325,42611494.8091505,48897046.5787612,53452338.5610896,57726037.5631651,61039377.3992782,66376128.9955995,60636265.8539616,69817926.8141893,79512375.1390611,82070024.7348804,77712251.4329214,81000373.8983452,68915032.454596,58508127.2283585,58463887.4999941,68902354.1240512,65329611.0707037,
GO,52,Goiás,38767171.2463947,41319279.758732,42335776.577342,45011525.1402962,45070219.3802562,45075242.9459147,46148991.6359607,47003510.9899741,50023933.6738763,51378868.6253268,52322449.3193889,53703710.3998499,56298574.666341,56970071.4294511,57965482.500416,60869402.0165606,62901157.4054521,64867047.6175856,66699215.930091,70365664.9060178,68760140.738765,73103219.8757621,80101841.0231416,84324991.5160262,89018109.56374,93245999.7255695,97053366.03288,104750162.415972,106453047.779416,108114678.890369,106005249.866951,102838291.511222,104856708.309641,103055645.422322,105378842.925127,
MA,21,Maranhão,16906893.9803239,20300646.547625,20886310.5701615,22771821.9788432,22929696.470923,22660643.7487705,23612714.4676312,22982187.2735605,24386340.4456379,24940337.5694508,25325943.4305665,26415181.1920923,27177257.3234759,25840266.3867855,26577015.3906575,27738099.4878783,28224839.9227137,27672083.2989533,30014218.0980679,31058946.2857601,32323453.0319671,35861811.1725994,34499738.2578252,39365631.0205042,40071146.9061991,41111063.645553,42362804.3152151,45315551.4107637,47756817.1582685,50580032.3646081,47906369.8306253,48155061.4561935,48493897.1946047,51550084.6017896,47961462.5845575,
MG,31,Minas Gerais,178308554.07631,179887364.471564,201189657.654642,198707446.421374,201589304.236676,197253727.126771,202235049.626845,198000332.741056,206375178.400086,217823804.137913,224717889.126021,233013624.106997,239993350.283935,239355543.253639,239550812.072034,251795327.012137,251503270.713981,201707739.832144,206122612.929802,230458859.452355,232312362.484894,247751060.611728,262675455.3992,278512105.399789,271435079.544671,305173970.112006,322781227.852497,331070584.416826,341146116.578477,335020046.804775,313710797.76256,303535503.136248,309166382.007929,319309601.906001,325169112.182293,
MS,50,Mato Grosso do Sul,15315510.8738962,15698122.317203,16963438.405592,17722945.711131,18899920.6100276,19005063.7962438,20027120.7621991,20432269.1403116,22060323.9852991,22807787.8231467,23939063.0600838,24460029.915929,25571246.9991832,26281721.1658161,26524162.0464475,27166580.6295455,28879309.7128563,27764138.6330312,32234707.7276337,31488653.8794987,29334449.6421212,30830784.0047009,32560381.6108515,35799447.7667686,37027889.2174365,41496012.547582,44633050.7734298,46732316.1839024,48725699.6899867,51912495.0045164,50965720.3043927,52442750.9389856,52912163.4581103,57003006.2563453,54136129.4948011,
MT,51,Mato Grosso,10974296.4676162,12325081.688053,13209335.784002,14502047.5542859,16506289.2153134,16752963.2003723,18004948.8221874,20008327.7120881,21434105.1789882,23982369.183563,24450286.4312482,25155975.8092732,26520002.0967083,28254874.2964328,30418677.864191,32741516.2882169,34949328.7839056,31753391.7583377,39021930.8800519,45249638.6181009,43201610.1022287,35340427.6510987,41840752.3871873,50237863.0415888,50266141.869381,49774547.6189157,56869676.2632148,60253734.037039,62435687.7895138,66989783.503318,66931781.2433602,70997135.2537329,68751899.2221885,72714433.1353738,72047099.7027986,
PA,15,Pará,29845957.4285689,34811200.5937823,37011773.8865326,38816637.5036277,40340721.8489188,42349504.2497605,41446579.4643364,42866753.269724,45877905.0695272,45144977.4408255,45159307.0904731,45284172.5005505,46622444.6378988,47675170.852379,48539243.7412351,50822027.0732054,52599758.589358,45430262.5287511,45275468.2602708,52424108.1088728,52547323.674307,55608002.3976633,58993797.2281711,63991198.5958373,60101002.4176629,75521362.1297568,83587962.1498305,83262054.6515285,87827609.7059346,83359084.6667989,81137775.2674644,79189108.1756754,86706068.5406656,87053527.9455478,92127900.5687934,
PB,25,Paraíba,14055186.9287982,15141891.9972125,15195434.4701519,15626249.5967475,15999043.1204497,16456709.8612092,16885135.1665124,16513578.8634714,15995622.9298818,18069072.760445,18793518.1100411,19290571.0900914,19881698.2223301,19426409.0577988,19966977.197305,20840093.1889817,21012629.5839054,21634722.7489702,22013169.7342122,21837364.7008195,22536532.5196047,25161828.4633288,26036069.2565145,28093365.3600867,29524296.531823,29853238.6735232,30451971.151225,32219625.2262161,32608241.0095597,34668979.1421239,34361914.0248862,33519708.057231,34080016.8723622,33904978.0418019,34298321.75701,
PE,26,Pernambuco,37528229.9147537,41352353.6743019,47770618.1196858,46943158.6612042,44339754.2544538,50886814.3035233,55022225.0270075,59493707.5224424,56460884.8268376,58072337.63318,59729782.990915,59904874.9890418,61779455.3021031,61538923.1377635,61940667.0726144,64621925.0784965,65681553.7289993,59192153.3097255,55758562.5784463,59989732.081128,61661947.929995,63621326.389544,67128682.3136394,69258331.6916936,73608685.92129,82952491.61382,86452760.5517349,92888618.0856542,96180265.746986,98348034.4982334,92238771.5181327,91367412.3607339,95693795.3926217,94540145.3219166,96136007.3877443,
PI,22,Piauí,8865506.42389017,9513734.01847399,9669815.34468097,10357555.305997,10680870.7136137,10733695.7422889,11222713.253966,10953170.5646127,11543967.3633584,12426026.3851094,12672406.6172037,13098311.8216655,13259139.0446314,13280317.2206896,13491973.3000544,13924641.5088245,14213591.4450341,11981607.4170785,12490135.82869,12948582.3429002,13666606.571325,16027020.4472109,15365946.268038,16662145.7932416,18214288.653056,19670255.4655047,21373794.2382156,21739534.6768504,22155001.9773903,25069138.9340916,24049967.9426631,23465277.5859825,24798754.0663777,26487067.6319221,26818865.9585534,
PR,41,Paraná,87445743.6314668,90192337.7194757,105317052.382232,105476486.941968,110153209.891838,110069727.870636,110034222.565175,109888465.754783,120885030.291938,127549246.654418,129824723.368603,136781105.236404,138882636.442713,143321974.127547,144039631.419511,151788375.437324,157596624.116639,145051704.291036,160654217.336247,166440612.283879,159114560.970625,160917558.051136,182211651.564144,185495482.045985,185451101.640523,192924561.102122,202043904.188252,207767802.344854,228866736.350447,222120488.200364,224000645.644888,222877886.985545,224052950.844202,226728194.676155,230806711.187856,
RJ,33,Rio de Janeiro,257185785.27677,278330479.359526,279567990.346143,281531004.558365,290003613.150493,277917370.31159,279681128.251197,274836450.449786,278566009.903924,285200274.693332,292435205.651203,295327506.466527,298142208.857138,300473701.34546,301801469.416888,309571940.208782,312276808.60382,300060220.395024,292111758.61427,308796086.680367,326578952.433559,341677084.768635,345435979.793599,372073835.629902,361138952.400269,379412007.722099,402774658.023202,418757233.961418,425595243.976061,427366848.22197,381574182.870545,343920318.443366,344921397.641735,373624551.360331,376146266.735127,
RN,24,Rio Grande do Norte,9367111.10803567,10357249.0149917,12805735.2027942,11242856.2338233,12276306.624979,10615672.105077,12750125.6551387,15313745.8102232,17336124.2624076,18545072.4612942,19838327.6093852,20377643.6283578,21304941.9213836,21508204.656577,22070705.486732,23093896.1535391,23539171.5895671,22954141.7234014,21948240.200269,23637428.9601571,25537410.9862118,27283038.8345077,29760782.4671732,29877113.6742861,29844101.2394654,32149190.4537919,33607364.5869906,35285800.267525,36519408.6976884,35582016.3608443,35101505.2849223,33706748.534321,35129371.6240051,35307420.8073784,36340920.5120187,
RO,11,Rondônia,7719191.95719446,8238464.30703871,8299842.63618749,8684584.35184945,8982985.08335375,8911364.56733956,9248781.40211984,9926946.47519474,10128419.7649809,11018115.3762068,11386556.6277658,11783480.3948281,11889204.4137432,11668033.9636907,12312451.1317201,12738807.1770026,13295771.0169139,12591322.6316105,13848047.9447435,15014074.1911016,15874018.7875357,15412802.017446,16038587.2262993,17726158.6048626,18903808.824973,20956957.8454357,22333867.1741099,22718358.9051099,22026512.8542753,22407913.2853788,22339043.1602709,22447577.2744056,24044676.1618014,23859880.3271463,23919672.9045099,
RR,14,Roraima,1715029.78513326,1870806.69721469,2099708.70565122,2317346.37376521,2396214.37024145,2499588.924839,2668318.94996108,2760440.36847527,2870362.01988682,2971954.86513155,3112678.99533407,3223499.10621019,3304221.02650966,3253298.6502346,3430478.57790763,3566450.7594177,3826762.78275309,4213015.33972972,4007096.58742338,4044580.93150862,4242030.60513359,4730070.55894923,4871096.0003064,5159685.36963467,5642017.86420654,6067327.16761489,6205808.7856742,6043172.68521985,6634468.63133642,6633979.21150175,6474795.27671021,6456446.53305811,6845223.3505193,7270064.85404938,7395173.5636468,
RS,43,Rio Grande do Sul,126761853.405752,122519920.033929,149913510.092654,137536831.743978,126004383.858157,132519764.925644,144605371.531108,157793167.588115,162687106.640482,169520322.161307,176640547.730551,176293599.559276,186679526.506509,185082113.053714,187678312.874506,195764848.730179,199719719.194602,160524012.445748,170597802.465534,172553023.056483,164570292.974572,168081879.064694,181610338.085392,187468282.170299,189894344.767774,205802706.809358,208988513.244039,209957163.636938,228060466.24701,228627148.261321,228655216.412218,225856568.516997,224710765.259397,235004997.459515,239068341.902393,
SC,42,Santa Catarina,68308054.2218253,74693011.508717,77934410.685391,77402625.7123053,80959339.9194671,78987028.4699081,81203891.5245234,84052398.193705,88744882.3801822,91711569.0047207,97007213.4398628,100494868.667607,105028058.222821,104956218.836109,106827041.18722,111294840.563232,114847146.364077,89951421.2716989,92426913.8709342,99204055.0349884,100867766.958214,105949962.110862,113277821.429542,121070016.712251,120656312.461879,130469640.606946,135659781.689186,138598063.849105,143974499.6119,151100756.425019,143790315.435435,138240603.501979,143203886.15197,146922179.835622,152432738.759804,
SE,28,Sergipe,10757473.6896295,11985239.2090136,12061673.0551053,12381739.2251392,12554150.212528,12752439.1850931,12927649.3024581,12832637.638182,13407162.6627843,13729473.4197961,13871073.4053724,14345130.9960842,15360990.5024188,15351413.3935478,15271225.0638436,15810864.5938477,15938369.9420044,17611221.1608311,17580077.037711,18663628.768093,18613182.6884324,19834190.8359452,20778653.4921485,22511598.4839614,21239434.9988774,23686833.7950762,24038256.3644394,25109685.3698143,25146712.0055556,24833845.3449434,23665705.9149384,22046053.6502868,22288572.5799597,22095019.6290451,22687136.3113909,
SP,35,São Paulo,689830906.516178,737619284.757861,759165301.238747,754296912.554229,769895536.064521,729011518.493493,725506392.638224,707365256.349322,751101865.572248,795726763.403108,832949747.16695,843549396.134294,872078159.58729,861654873.130247,850120299.648185,886359584.686207,889762802.552699,818374756.949325,820610550.64974,833584758.437269,890796692.323329,925283637.80374,990064601.413501,993660736.078647,1018498099.10885,1071840401.67993,1093840675.40554,1100471911.20766,1129244328.37268,1145523766.56266,1115100815.49741,1094507625.40463,1093698609.39592,1098056219.82004,1123970811.08357,
TO,17,Tocantins,,,,,7189658.15032213,6918218.53673977,7155728.68931521,7422702.36073241,7589307.61804223,7792360.68167524,8130888.62582438,8315376.14166201,8639149.04798674,9005067.50704824,9269055.93869552,9534379.11791264,9606201.22331252,9070208.76069787,9834415.23114682,10053784.5222977,9821671.31795409,10368517.8841295,11574317.5893356,12644524.9883787,13460128.9235539,14809182.2574019,15285884.57618,16007608.8360742,17216827.5957842,17518957.8212156,18033260.1735554,18099906.341569,18884996.1858292,19031095.474091,20221708.711209,
