Ano	janeiro	fevereiro	março	abril	maio	junho	julho	agosto	setembro	outubro	novembro	dezembro
1986						0,06648157895	0,083826	0,1207879048	0,1318754545	0,08426443478	0,11714645	0,2422191818
1987	0,4984227143	0,89935485	0,5660521	0,7521268947	1,10711655	0,7923992381	0,3716497826	0,3709745238	0,3665675714	0,4309367619	0,60927945	0,6126327273
1988	0,77881775	0,8905768421	0,7000622727	0,9754145789	0,85871235	0,8388592727	1,056574048	0,8910637391	1,11606	1,381863053	1,197748238	1,2082005
1989	1,0394753	0,9685312778	0,8885362381	0,5754592632	0,5166131905	1,103163182	1,372701952	1,329307913	1,64486845	1,874482762	1,99355895	2,51108765
1990	2,375184773	3,384407444	1,440015182	0,2182632105	0,2520151818	0,41944995	0,5890909091	0,4754927391	0,7482104737	0,7295715714	0,90865005	1,03461665
1991	0,8710757273	0,3904118235	0,4542281053	0,4203181818	0,4355714286	0,4923834	0,509028913	0,6670302727	0,8632857619	1,00826087	1,4142999	1,30058719
1992	1,166181864	1,27180005	1,19658335	1,135298263	1,0402834	1,040460286	1,017275304	1,093031714	1,169587333	1,189126952	1,1785	1,053000091
1993	1,26231665	1,420536944	1,09134787	1,412280737	1,290365143	1,327698476	1,295272727	1,360999955	1,518460333	1,6381666	1,63748325	1,485579739
1994	1,709619	1,966870333	1,748287864	2,029579053	1,796439545	1,969587333	0,3328668	0,177797087	0,179317619	0,1874386842	0,1997834	0,1695606818
1995	0,1509696818	0,1779998889	0,1816376957	0,2454311765	0,1892727727	0,1887621905	0,1880001905	0,1639563043	0,16366695	0,1451110952	0,14184995	0,1370666
1996	0,1156970909	0,1224035263	0,1046509524	0,1024001	0,09062131818	0,1031051579	0,08308704348	0,08862113636	0,08985714286	0,08374236364	0,08945	0,08519047619
1997	0,07807572727	0,09218516667	0,08573694737	0,07841266667	0,07863325	0,07593642857	0,069203	0,07495242857	0,07174245455	0,07215956522	0,15001665	0,1332272727
1998	0,1255526667	0,117148	0,09899745455	0,08910821053	0,08087735	0,07572909524	0,07347834783	0,06981128571	0,1170751905	0,1381177619	0,1299902	0,1079297273
1999	0,10778705	0,1306885556	0,1427163043	0,122454	0,09522309524	0,07898585714	0,07480781818	0,070766	0,0703197619	0,068744	0,06887245	0,06902247826
2000	0,06884457143	0,06861733333	0,06854066667	0,06777742105	0,06742340909	0,06583842857	0,06180695238	0,06069895652	0,0608283	0,06095	0,0606442	0,05957005
2001	0,05715877273	0,05616633333	0,05683477273	0,05898695	0,06037795455	0,0632839	0,067608	0,06903843478	0,06926705263	0,06926381818	0,0692149	0,06922
2002	0,06922	0,06893983333	0,06812395	0,06696195455	0,06693057143	0,06603575	0,06627265217	0,0651615	0,06534580952	0,07100473913	0,0764882	0,08229309524
2003	0,08877068182	0,09073265	0,092749	0,0927578	0,09272338095	0,092025	0,08972826087	0,083783	0,07573604545	0,07083917391	0,0667516	0,062015
2004	0,0599982381	0,05993777778	0,05956991304	0,0587633	0,0581277619	0,05822585714	0,05813868182	0,05843936364	0,05923480952	0,06031435	0,0621806	0,06401773913
2005	0,0654687619	0,06729072222	0,068961	0,07010755	0,07106719048	0,071533	0,07145590476	0,07154213043	0,07107052381	0,0698922	0,0686031	0,06651395455
2006	0,06452986364	0,06327316667	0,06142243478	0,05957944444	0,05789063636	0,05608404762	0,05540461905	0,05429469565	0,0526018	0,05183728571	0,0507845	0,049164
2007	0,04896572727	0,04827277778	0,04758977273	0,04703045	0,046503	0,0450878	0,04400663636	0,04295447826	0,04220568421	0,04206336364	0,042065	0,042065
2008	0,04205845455	0,04206310526	0,0420614	0,04274185714	0,0436576	0,04529861905	0,04627117391	0,04822657143	0,04987840909	0,05083973913	0,050753	0,050823
2009	0,04964833333	0,047314	0,04392790909	0,04181185	0,0384042	0,03616333333	0,03422486957	0,032927	0,032927	0,032927	0,032927	0,03292531818
2010	0,03292515	0,032927	0,032927	0,0331908	0,03565185714	0,0376	0,03897777273	0,040203	0,040203	0,040203	0,040203	0,04020769565
2011	0,04089519048	0,0420272	0,04364038095	0,04404368421	0,044698	0,04533085714	0,04587866667	0,04646017391	0,04464585714	0,04391405	0,042849	0,04106463636
2012	0,0403295	0,03927	0,037179	0,035474	0,03373136364	0,0319778	0,03080763636	0,02997965217	0,028296	0,02770736364	0,027371	0,02743595
2013	0,02726	0,0273115	0,02739875	0,02781163636	0,02842080952	0,030177	0,03137373913	0,03217809091	0,033839	0,03510369565	0,0358381	0,0374662381
2014	0,03845090909	0,0393598	0,040168	0,0409735	0,041063	0,041063	0,041063	0,04106814286	0,041063	0,04114073913	0,041957	0,043496
2015	0,04433033333	0,045513	0,04703818182	0,04737575	0,049037	0,05053785714	0,05093956522	0,052531	0,052531	0,052531	0,052531	0,052531
2016	0,052531	0,052531	0,052531	0,052531	0,052531	0,052531	0,052531	0,052531	0,052531	0,0521826	0,05166	0,050788
2017	0,049115	0,047865	0,045513	0,04353744444	0,041957	0,03837	0,03785271429	0,034749	0,0318266	0,03056971429	0,028333	0,0268514
2018	0,026481	0,02581005556	0,02528571429	0,02462	0,02462	0,02462	0,02462	0,02462	0,02462	0,02462	0,02462	0,02462
2019	0,02462	0,02462	0,02462	0,02462	0,02462	0,02462	0,02462	0,022751	0,02203519048	0,02078995652	0,018985	0,01781128571
2020	0,017089	0,01629566667	0,01535563636	0,014227	0,0117773	0,01010085714	0,008442	0,007608	0,007469	0,007469	0,007469	0,007469
2021	0,007469	0,007469	0,008734217391	0,010379	0,01285614286	0,01463471429	0,016137	0,01941277273	0,02100342857	0,0242439	0,029256	0,03331604348
2022	0,034749	0,03959757895	0,0419535	0,043739	0,04679627273	0,04811614286	0,049037					